,,,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
fadL,,C up,0.04197676,0.015479885,0.02347317,0.011724992,0.020360881,0.010373444,0.011088666,0.01068346
fkpA,,C up,0.162958011,0.190980203,0.146626055,0.18759987,0.163207498,0.177459988,0.14796564,0.138884979
flgE,motility,C up,0.094447711,0.085344231,0.070256998,0.058138448,0.071903987,0.07202134,0.10476521,0.090417194
flgG,motility,C up,0.02098838,0.020291742,0.017523622,0.023449984,0.015110434,0.016325825,0.011088666,0.01146789
flgH,motility,C up,0.03128386,0.035771627,0.029260207,0.022963472,0.030220869,0.021512547,0.019868865,0.01979806
flgK,motility,C up,0.078805781,0.082211283,0.04710885,0.053005719,0.061403094,0.044556412,0.054289096,0.063316329
flgL,motility,C up,0.0792032,0.0997798,0.047433872,0.041767239,0.04629266,0.083926102,0.092522311,0.090417194
flgM,motility,C up,0.01049419,0.019247426,0.011736585,0.011724992,0,0.026699269,0.021023099,0
flgN,motility,C up,0.068311591,0.061919541,0.070419509,0.0642442,0.055832196,0.054164197,0.032111765,0.036999895
fliA,motility,C up,0.04752192,0.052295828,0.04710885,0.058138448,0.030861773,0.034182968,0.045508897,0.03283481
fliC,motility,C up,1.622842694,1.999218696,1.169433206,0.947778298,1.132838921,1.007360205,1.139720742,1.280932198
fliD,motility,C up,0.07900449,0.096646852,0.02347317,0.046899968,0.040401309,0.060116578,0.043200431,0.05263287
fliF,motility,C up,0.03128386,0.036815943,0.035047244,0.040794216,0.045331303,0.043025094,0.016055882,0.02136692
fliG,motility,C up,0.04732321,0.053340144,0.064469961,0.0642442,0.040721761,0.054929856,0.048167647,0.05420173
fliH,motility,C up,0.02118709,0.020291742,0.011736585,0.017344232,0.035791767,0.016325825,0.022177332,0.016417405
fliI,motility,C up,0.04752192,0.053340144,0.041321813,0.035661487,0.030861773,0.044556412,0.043200431,0.03205038
fliM,motility,C up,0.0320787,0.016524201,0.02347317,0.024423006,0.025611327,0.028230587,0.011088666,0.027100865
fliN,motility,C up,0.01029548,0.009623713,0,0,0.009859988,0,0.019868865,0.00989903
fliS,motility,C up,0.02098838,0.015479885,0.017523622,0.023449984,0.020360881,0.022278206,0.021023099,0.02136692
fliY,Catabolic,C up,0.346109563,0.347867687,0.357559562,0.308522984,0.330063182,0.330344794,0.306669663,0.342655147
fliZ,,C up,0.03148257,0.026147914,0.040996792,0.041280727,0.040721761,0.022278206,0.027144548,0.02136692
folX,,C up,0,0,0.011574074,0,0,0,0,0.01068346
ftnA,,C up,0.01564193,0.010668029,0.011736585,0.011724992,0.01018044,0.022278206,0.017210115,0.01068346
ftsA,,C up,0.02118709,0.010668029,0.017523622,0.017344232,0.01018044,0.020746888,0.029803298,0.02136692
ftsZ,,C up,0.178599942,0.210227628,0.187785358,0.193705622,0.183247927,0.199738194,0.172451439,0.172504218
fumA,TCA,C up,0.178103167,0.172889528,0.161012393,0.140456647,0.134810722,0.107266351,0.101127368,0.089632764
fumC,TCA,C up,0.094050291,0.093923627,0.088105642,0.098932664,0.091944416,0.066834618,0.076466428,0.091201624
gabT,Catabolic,C up,0.01584064,0.016524201,0.023798191,0.011724992,0.010500893,0.011139103,0.011088666,0.01146789
ghrB,,C up,0.06316385,0.069864345,0.094217701,0.082074943,0.076513529,0.060116578,0.071499212,0.069050274
glgA,,C up,0,0.009623713,0.02347317,0.011238481,0.010500893,0.010373444,0,0.00989903
glgC,,C up,0.01049419,0.015479885,0.011574074,0,0.01018044,0.011904762,0.009934433,0.00989903
glk,Catabolic,C up,0.02078967,0.036815943,0.023310659,0.017344232,0.030861773,0,0.021023099,0.015632975
glmM,,C up,0.062965141,0.080532374,0.07058202,0.06986344,0.096553957,0.054929856,0.072653445,0.057582384
glnB,,C up,0.02078967,0.016524201,0.011574074,0.017344232,0.015430887,0.016325825,0.016055882,0.016417405
glpK,,C up,0.041778051,0.021336058,0.029422718,0.035661487,0.025290875,0.017091484,0.024485798,0.01146789
grxB,,C up,0.03682902,0.026147914,0.035209755,0.029069224,0.020681333,0.022278206,0.038233214,0.03126595
grxC,,C up,0.041778051,0.036815943,0.040996792,0.035174976,0.030541321,0.021512547,0.037078981,0.047683355
gltI,Catabolic,C up,0.833791338,0.767688351,0.657411264,0.665624366,0.565174667,0.484933808,0.433962488,0.398668671
gltJ,Catabolic,C up,0,0.009623713,0,0.011724992,0.009859988,0,0,0
gltL,Catabolic,C up,0.05247095,0.036815943,0.040996792,0.034688464,0.030541321,0.022278206,0.027144548,0.02136692
gnsB,,C up,0.04217547,0.041627799,0.052895887,0.046413456,0.045972208,0.043790753,0.042046197,0.04273384
gpsA,,C up,0.03128386,0.020291742,0,0.011724992,0.015430887,0.011139103,0.009934433,0.03126595
gpr,,C up,0.04732321,0.041627799,0.035209755,0.041280727,0.025290875,0.022278206,0.009934433,0.01979806
gshB,,C up,0.03148257,0.015479885,0.017523622,0.023449984,0.045651756,0.03265165,0.033265998,0.03048152
ybgI,,C up,0.03148257,0.033048402,0.029422718,0.023449984,0.025611327,0.017091484,0.037078981,0.027100865
hemY,,C up,0.03168128,0.048528288,0.029422718,0.035174976,0.01018044,0.028230587,0.029803298,0.02136692
hflC,,C up,0.03682902,0.033048402,0.052895887,0.041280727,0.041042214,0.051274452,0.050476113,0.058366814
hflX,,C up,0.01029548,0.009623713,0.011574074,0.011238481,0.01018044,0.010373444,0.012242899,0.01068346
htpG,,C up,0.141373502,0.135551427,0.129102434,0.13972688,0.136955267,0.112156688,0.155241323,0.148784009
icd,TCA,C up,0.9197226,0.8788632,0.935301973,0.92738119,0.833354076,0.76659751,0.779390791,0.747571446
ihfB,,C up,0.01029548,0.009623713,0,0.011238481,0.01018044,0.010373444,0.009934433,0.01068346
ilvB,amino acid synthesis,C up,0.05821482,0.043716431,0.047433872,0.047386479,0.041042214,0.051274452,0.038233214,0.049252215
ilvH,amino acid synthesis,C up,0.01049419,0.010668029,0.011899096,0.012211503,0.015110434,0,0.012242899,0.01068346
ilvI,amino acid synthesis,C up,0.047124501,0.03095977,0.029422718,0.040307705,0.035471315,0.017091484,0.04932188,0.03048152
ilvM,amino acid synthesis,C up,0,0,0.011574074,0,0.009859988,0.016325825,0,0
ilvN,amino acid synthesis,C up,0.02098838,0.021336058,0.023310659,0.011724992,0.029579965,0.011139103,0.009934433,0
ispF,,C up,0.0106929,0.015479885,0.011574074,0.012211503,0.015430887,0.011139103,0,0.01068346
ivy,,C up,0.02118709,0.016524201,0.011736585,0.017830744,0.015430887,0.011139103,0.011088666,0.01068346
katG,,C up,0.231070892,0.206460088,0.187947869,0.142159437,0.15334751,0.11734341,0.112391176,0.110999684
thrB,amino acid synthesis,C up,0.01584064,0.021336058,0.02347317,0.017344232,0.015430887,0.016325825,0.022177332,0.02136692
pykA,Glycolysis,C up,0.089299971,0.112536461,0.093892679,0.088180695,0.086693969,0.095830863,0.087555094,0.085467679
lacY,,C up,0.01029548,0,0,0,0.009859988,0,0,0
lamB,Catabolic,C up,0.03682902,0.048528288,0.035047244,0.041767239,0.045651756,0.016325825,0.011088666,0
fadD,,C up,0.025937411,0.010668029,0,0.011724992,0.009859988,0.010373444,0,0
ldhA,,C up,0.02633483,0.010668029,0.02347317,0.029555735,0.025611327,0.011139103,0.022177332,0.02215135
livG,Catabolic,C up,0.03128386,0.019247426,0.011736585,0.022476961,0.020360881,0.020746888,0.017210115,0.02215135
livJ,Catabolic,C up,0.399574063,0.40411591,0.377195824,0.34537639,0.308297281,0.335877297,0.403004957,0.426553966
lldD,,C up,0.01029548,0,0,0,0,0,0.012242899,0
lpp,,C up,0.083754811,0.092879311,0.070094488,0.092826912,0.07523172,0.080097807,0.054289096,0.058366814
lptB,,C up,0.03682902,0.034727311,0.040996792,0.034688464,0.051222654,0.03936969,0.053134863,0.04194941
lpxA,,C up,0.01049419,0,0,0,0.01018044,0.010373444,0.016055882,0.01979806
lrp,,C up,0.05247095,0.03095977,0.035372265,0.034688464,0.040721761,0.03936969,0.033265998,0.03205038
malE,Catabolic,C up,0.068112881,0.084299915,0.070094488,0.086721161,0.086693969,0.037072713,0.039387447,0.03126595
malF,Catabolic,C up,0,0,0,0,0,0,0,0
malK,,C up,0.01029548,0,0,0,0,0,0,0
malM,,C up,0.02098838,0.010668029,0.011736585,0.011238481,0,0,0,0
malQ,Catabolic,C up,0,0,0,0,0,0,0,0
malT,,C up,0,0,0,0.024423006,0.010500893,0,0,0
maeA,,C up,0.094646421,0.084299915,0.076206546,0.082074943,0.08240488,0.072786999,0.064223529,0.073999789
maeB,TCA,C up,0.209486382,0.165876605,0.129264944,0.135080662,0.132345725,0.089112824,0.124283792,0.097719999
aceB,TCA,C up,0.01564193,0.02719223,0.023310659,0.017344232,0.015110434,0.010373444,0.009934433,0.01979806
glcB,TCA,C up,0.073459331,0.073631886,0.088105642,0.092826912,0.070622178,0.056461174,0.033265998,0.03205038
tsr,motility,C up,0.336012793,0.323808405,0.32299985,0.357368997,0.316234556,0.35279589,0.324230062,0.319719367
NA,,C up,0.15345737,0.187212662,0.152738114,0.189059404,0.147456159,0.174570243,0.135722741,0.123252004
NA,,C up,0.05247095,0,0.046296296,0,0,0,0,0
tar,motility,C up,0.388285034,0.403296463,0.404830923,0.361042192,0.314632295,0.391992689,0.284842615,0.301733102
trg,motility,C up,0.146521242,0.148308087,0.152738114,0.146805654,0.111664392,0.061647896,0.054289096,0.073999789
tap,motility,C up,0.230474763,0.207504404,0.228619639,0.211049854,0.193428367,0.214532701,0.183540104,0.186568333
NA,,C up,0,0.052295828,0.047596383,0.052519208,0.045651756,0.043790753,0.043200431,0.036999895
mdh,TCA,C up,0.773896842,0.759948409,0.695270771,0.705445559,0.595075083,0.566266548,0.564140896,0.508099495
metA,amino acid synthesis,C up,0.057419981,0.064008173,0.070419509,0.064730711,0.071263083,0.07202134,0.061564779,0.081302594
metB,amino acid synthesis,C up,0.052272241,0.058152001,0.076206546,0.070836463,0.061403094,0.050508793,0.05544333,0.069834704
metQ,Catabolic,C up,0.524908215,0.509976751,0.487149528,0.511253426,0.52080472,0.519116775,0.559750797,0.519567385
mglA,Catabolic,C up,0.04197676,0.041627799,0.035209755,0.046899968,0.020360881,0.021512547,0.009934433,0.00989903
mgsA,,C up,0.01564193,0.010668029,0.023310659,0.011238481,0.020681333,0.010373444,0,0
mhpR,,C up,0,0,0,0,0,0,0,0
minD,,C up,0.03663031,0.036815943,0.04710885,0.041280727,0.035150863,0.038604031,0.037078981,0.01068346
minE,,C up,0.03148257,0.026147914,0.029422718,0.040307705,0.025290875,0.033417309,0.016055882,0.026316435
moaC,,C up,0.020590961,0.010668029,0.017523622,0.011724992,0.015110434,0.016325825,0.009934433,0.01068346
modA,,C up,0.01584064,0.025103598,0.017523622,0.011724992,0.01018044,0.011904762,0.012242899,0
modC,,C up,0.02078967,0.020291742,0.011736585,0.022476961,0.025611327,0.016325825,0.019868865,0.01068346
motA,motility,C up,0.03682902,0.028236546,0.023635681,0.029555735,0.035471315,0.022278206,0.022177332,0.016417405
msrB,,C up,0.03168128,0.043716431,0.041159302,0.040794216,0.030861773,0.022278206,0.038233214,0.036999895
msrC,,C up,0.01564193,0.011712345,0.011736585,0.011724992,0.01018044,0.016325825,0.011088666,0.01068346
mtfA,,C up,0.020590961,0.019247426,0.011736585,0,0.009859988,0.011904762,0.009934433,0
mug,,C up,0.01029548,0.010668029,0.011736585,0.011238481,0.009859988,0.011904762,0.016055882,0.00989903
mutS,,C up,0.01029548,0,0.011899096,0,0.009859988,0,0.009934433,0.00989903
nagD,,C up,0,0.010668029,0.011899096,0.012211503,0.01018044,0.023809524,0.021023099,0.02293578
nanA,,C up,0.0106929,0,0,0.012211503,0,0,0,0
narP,,C up,0.01029548,0,0,0,0,0.011904762,0.012242899,0.00989903
ndk,nucleotide synthesis,C up,0.204934772,0.234696634,0.223645156,0.164636398,0.188498373,0.174570243,0.204563203,0.175884873
nmpC,,C up,2.78767908,2.728926746,2.626232328,2.717935739,2.155246078,2.049940723,2.357762713,2.278360494
NA,,C up,0.397189545,0.349956319,0.38070771,0.353695802,0.31098411,0.253309623,0.263819516,0.249100233
wrbA,,C up,0.01049419,0.011016134,0.011736585,0.011724992,0.012805664,0.017091484,0.010703922,0.01146789
nuoE,,C up,0.02633483,0.016524201,0.017686133,0.024423006,0.01018044,0.011139103,0.021023099,0.016417405
nuoF,,C up,0.126128991,0.12697203,0.07058202,0.11211719,0.096553957,0.094299546,0.070344979,0.096151139
sucA,TCA,C up,0.582328196,0.617291632,0.668335294,0.609699579,0.570104661,0.511633076,0.488251585,0.473452891
sucB,TCA,C up,0.418376635,0.392218711,0.380545199,0.3493172,0.348821801,0.307300929,0.210684653,0.198036223
ompC,,C up,0.01564193,0.014224038,0.019398464,0.014534612,0.027916098,0.021512547,0.027214605,0.03660768
ompR,,C up,0.03663031,0.032004086,0.02347317,0.040794216,0.030541321,0.023809524,0.028298781,0.015632975
oppA,Catabolic,C up,0.194639291,0.223394013,0.211908571,0.194678645,0.184209283,0.136731871,0.187353088,0.192302278
oppD,Catabolic,C up,0.01049419,0.015479885,0,0.011724992,0.025611327,0.011904762,0,0.01146789
osmC,,C up,0.01049419,0.015479885,0.011736585,0.012211503,0.010500893,0.011904762,0.011088666,0.01146789
osmE,,C up,0.02098838,0.03095977,0.02347317,0.028582713,0.01018044,0.016325825,0.011088666,0.01068346
proC,amino acid synthesis,C up,0.02098838,0,0.017523622,0.023449984,0.030861773,0.020746888,0.027144548,0.027100865
pcnB,,C up,0,0,0,0,0,0.010373444,0.009934433,0.00989903
pdxH,,C up,0.01564193,0.020291742,0.02347317,0.017344232,0.024970423,0.03265165,0.022177332,0.015632975
pdxJ,,C up,0.02633483,0.020291742,0.017523622,0.023449984,0.020360881,0.016325825,0.028298781,0.01068346
pdxK,,C up,0.01049419,0.010668029,0.011574074,0.012211503,0.01018044,0.011904762,0.016055882,0.00989903
pepD,,C up,0.136027052,0.151441035,0.164312188,0.147778677,0.127095279,0.146339656,0.15142834,0.117518059
pepQ,,C up,0.0578174,0.064008173,0.058682924,0.047386479,0.061082642,0.03265165,0.033265998,0.026316435
pflB,,C up,0.205133481,0.182400806,0.258313208,0.226358836,0.160902727,0.169000692,0.148542757,0.157384926
pgm,,C up,0.03663031,0.049572604,0.029422718,0.035174976,0.025290875,0.027464928,0.038233214,0.03205038
ybeZ,,C up,0.01584064,0.010668029,0.017686133,0.012211503,0.025611327,0.017091484,0.016055882,0.026316435
malP,Catabolic,C up,0,0.011712345,0.023798191,0.028582713,0.020040429,0.011904762,0,0
plsB,,C up,0.01584064,0.015479885,0.017686133,0.029555735,0.025611327,0.022278206,0.024485798,0.02293578
pmbA,,C up,0.052073531,0.050207196,0.04710885,0.034688464,0.054870839,0.048977475,0.054289096,0.057582384
potD,Catabolic,C up,0.089498681,0.101868432,0.082318605,0.0642442,0.087014421,0.077973721,0.110886659,0.100316224
ppsA,TCA,C up,0.424319215,0.389495486,0.41061796,0.42820546,0.401005812,0.377963841,0.378519158,0.385631921
pqqL,,C up,0,0.011712345,0,0.011238481,0.010500893,0,0,0.00989903
psd,,C up,0.02653354,0.026147914,0.023635681,0.011724992,0.020681333,0.010373444,0.021023099,0.02058249
pssA,,C up,0.01049419,0,0,0,0,0,0,0
pta,,C up,0.178599942,0.146219456,0.15836264,0.152424895,0.162246142,0.132903576,0.185848571,0.171719788
mtlA,Catabolic,C up,0.025937411,0.026147914,0.035047244,0.011724992,0.015430887,0.010373444,0,0
nagE,Catabolic,C up,0.01029548,0,0,0,0.010500893,0,0,0
putP,Catabolic,C up,0.01029548,0,0,0.011238481,0,0.010373444,0,0
pyrB,nucleotide synthesis,C up,0.01049419,0.025103598,0.023310659,0.040307705,0.029900417,0.043790753,0.011088666,0.016417405
pyrC,nucleotide synthesis,C up,0.02098838,0.033048402,0.035697287,0.029555735,0.04629266,0.045322071,0.04932188,0.037784325
pyrD,nucleotide synthesis,C up,0.0534645,0.02719223,0.02347317,0.023449984,0.04629266,0.044556412,0.039387447,0.05420173
rbsA,Catabolic,C up,0.220576702,0.18135649,0.176211284,0.159017158,0.157957052,0.105438648,0.088709327,0.064100759
rbsB,Catabolic,C up,1.185644771,1.17747558,1.072841196,0.980739613,0.871869687,0.708481525,0.690156038,0.553971055
rbsD,Catabolic,C up,0.05247095,0.062963857,0.052733377,0.058138448,0.040721761,0.038604031,0.043200431,0.03205038
rbsK,Catabolic,C up,0.205332191,0.196836375,0.152738114,0.183440164,0.13170482,0.128482513,0.138031208,0.101885084
recA,,C up,0.094249001,0.093923627,0.093730168,0.07548268,0.081763975,0.103907331,0.076466428,0.086252109
ridA,,C up,0.034354505,0.021858216,0.029503973,0.032608611,0.027575111,0.025254396,0.043777547,0.04194941
rihC,,C up,0,0.011712345,0,0.012211503,0,0,0,0
nrdB,nucleotide synthesis,C up,0.03168128,0.033048402,0.023310659,0.056192403,0.025931779,0.022278206,0.038233214,0.03126595
rnr,,C up,0.0106929,0.011712345,0.011899096,0,0.015430887,0,0.011088666,0.01068346
rodZ,,C up,0.02118709,0.032004086,0.02347317,0.023449984,0.030861773,0.028230587,0.027144548,0.016417405
rpe,,C up,0.02633483,0.036815943,0.017686133,0.011724992,0.03611222,0.023809524,0.028298781,0.03205038
rpoD,,C up,0.02633483,0.047483972,0.058845435,0.040794216,0.030541321,0.022278206,0.048167647,0.03891121
rsd,,C up,0.01029548,0,0.011574074,0.011238481,0,0,0,0
rsgA,,C up,0.01029548,0.010668029,0.011736585,0.011238481,0,0.010373444,0.009934433,0.00989903
skp,,C up,0.05247095,0.091834995,0.058682924,0.070349951,0.05058175,0.055695515,0.054289096,0.05263287
slyA,,C up,0.03128386,0.032004086,0.035047244,0.034688464,0.025290875,0.038604031,0.025990315,0.04194941
sopA,,C up,0.03168128,0.032004086,0.029422718,0.035174976,0.035791767,0.037838372,0.038233214,0.037784325
sopB,,C up,0.01049419,0.010668029,0.011736585,0.011724992,0.01018044,0,0.017210115,0.00989903
speB,,C up,0.01049419,0.015479885,0.011736585,0,0.015110434,0,0.016055882,0.01979806
ssb,,C up,0.02078967,0.016524201,0.02347317,0.017344232,0.025611327,0.027464928,0.028298781,0.026316435
sthA,,C up,0.089299971,0.085344231,0.099842227,0.100392198,0.071583535,0.051274452,0.059256313,0.046898925
sucC,TCA,C up,0.86408165,0.862246571,0.931189623,0.867162889,0.748866257,0.682375025,0.483284368,0.470072236
sucD,TCA,C up,0.78962877,0.795740043,0.801112125,0.718411189,0.627662329,0.545643154,0.459148854,0.497416035
hsdR,,C up,0.02118709,0.015479885,0.023148148,0.017344232,0,0.010373444,0,0.01146789
talA,,C up,0.073658041,0.043716431,0.052733377,0.070836463,0.051222654,0.055695515,0.082587878,0.057582384
tas,,C up,0.02078967,0.019247426,0.017523622,0.022476961,0.010500893,0,0.009934433,0.01068346
lacA,,C up,0.052272241,0.066731397,0.052570866,0.029069224,0.025290875,0.026699269,0.022177332,0.03126595
trxB,,C up,0.131475441,0.149352403,0.153063136,0.147292166,0.147776611,0.134434894,0.15408709,0.161036329
tyrB,amino acid synthesis,C up,0.04197676,0.037860259,0.041159302,0.034688464,0.041042214,0.026699269,0.047013414,0.04194941
