gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP,manual1,manual2,COG_functionname_curated
accB,s-sector,biotin carboxyl carrier protein,,,,CP,,notdefined,HI,COG0511,no,,,notdefined
accC,s-sector,biotin carboxylase,,,,CP,,Lipid transport and metabolism,I,COG0439,no,,,Lipid transport and metabolism
accD,ra-sector,acetyl-CoA carboxyltransferase subunit &beta;,,,,CP,,Lipid transport and metabolism,I,COG0777,no,,,Lipid transport and metabolism
aceA,s-sector,isocitrate lyase,C-scavenging,catabolism,catabolism,CP,,Energy production and conversion,C,COG2224,no,,,Energy production and conversion
aceB,rca-sector,MALATE-SYNTHASE,malate synthase glyoxylate cycle,catabolism,catabolism,CP,,Energy production and conversion,C,COG2225,yes,,,Energy production and conversion
aceE,a-sector,pyruvate dehydrogenase E1 component,,,,CP,,Energy production and conversion,C,COG2609,no,,,Energy production and conversion
aceF,ra-sector,"AceF-dihydrolipoate // ""AceF-S-acetyldihydrolipoate"" // ""AceF-lipoate"" // ""pyruvate dehydrogenase, E2 subunit""",,,,CP,,Energy production and conversion,C,COG0508,no,,,Energy production and conversion
aceK,s-sector,isocitrate dehydrogenase kinase/phosphatase,,,,CP,,Signal transduction mechanisms,T,COG4579,no,,,Signal transduction mechanisms
ackA,a-sector,acetate kinase,,,,CP,,Energy production and conversion,C,COG0282,no,,,Energy production and conversion
acnA,s-sector,aconitate hydratase 1,,,,CP,,Energy production and conversion,C,COG1048,yes,,,Energy production and conversion
acnB,rca-sector,AcnB,,,,CP,,Energy production and conversion,C,COG1049,yes,,,Energy production and conversion
acpH,rca-sector,EG11095-MONOMER,,,,CP,,Lipid transport and metabolism,I,COG3124,no,,,Lipid transport and metabolism
acpP,s-sector,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>3</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",,,,CP,,notdefined,IQ,COG0236,no,,,notdefined
acpS,a-sector,holo-[acyl-carrier-protein] synthase,,,,CP,,Lipid transport and metabolism,I,COG0736,no,,,Lipid transport and metabolism
acpT,rca-sector,holo-[acyl carrier protein] synthase 2,,,,CP,,Coenzyme transport and metabolism,H,COG2091,no,,,Coenzyme transport and metabolism
acrA,ra-sector,multidrug efflux pump membrane fusion lipoprotein AcrA,,,,LPI,transporter,notdefined,MV,COG0845,no,,,notdefined
acrB,ra-sector,multidrug efflux pump RND permease AcrB,,,,IM,transporter,Defense mechanisms,V,COG0841,no,,,Defense mechanisms
acrD,rca-sector,multidrug efflux pump RND permease AcrD,,,,IM,transporter,Defense mechanisms,V,COG0841,no,,,Defense mechanisms
acrE,rca-sector,multidrug efflux pump membrane fusion lipoprotein AcrE,,,,LPI,lipoprotein,notdefined,MV,COG0845,no,,,notdefined
acrF,rca-sector,multidrug efflux pump RND permease AcrF,,,,IM,transporter,Defense mechanisms,V,COG0841,no,,,Defense mechanisms
acrR,rca-sector,DNA-binding transcriptional repressor AcrR,,,,CP,,Transcription,K,COG1309,no,,,Transcription
acrZ,s-sector,multidrug efflux pump accessory protein AcrZ,,,,CP,,notdefined,notdefined,,no,,,Transport
acs,c-sector,acetyl-CoA synthetase (AMP-forming),C-scavenging,catabolism,catabolism,CP,,Lipid transport and metabolism,I,COG0365,yes,,,Lipid transport and metabolism
actP,s-sector,acetate/glycolate:cation symporter,acetate glycolate transporter,carbon uptake,transport,IM,transporter,Energy production and conversion,C,COG4147,no,,,Energy production and conversion
ada,rca-sector,DNA-binding transcriptional dual regulator / DNA repair protein Ada,,,,CP,,"Replication, recombination and repair",L,COG0350,no,,,"Replication, recombination and repair"
add,s-sector,adenosine deaminase,,,,CP,,Nucleotide transport and metabolism,F,COG1816,no,,,Nucleotide transport and metabolism
adeD,c-sector,adenine deaminase,,,,CP,,Nucleotide transport and metabolism,F,COG1001,no,,,Nucleotide transport and metabolism
adeP,rc-sector,adenine:H<sup>+</sup> symporter,,,,IM,membrane protein,Nucleotide transport and metabolism,F,COG2252,no,,,Nucleotide transport and metabolism
adeQ,rca-sector,adenine transporter,,,,IM,other,Nucleotide transport and metabolism,F,COG2252,no,,,Nucleotide transport and metabolism
adhE,a-sector,aldehyde/alcohol dehydrogenase AdhE,,,,CP,,Energy production and conversion,C,COG1012,no,,,Energy production and conversion
adhP,rca-sector,ethanol dehydrogenase / alcohol dehydrogenase,,,,CP,,Carbohydrate transport and metabolism,G,COG1064,no,,,Carbohydrate transport and metabolism
adiA,rca-sector,"arginine decarboxylase, degradative",,,,CP,,Amino acid transport and metabolism,E,COG1982,no,,,Amino acid transport and metabolism
adiC,rca-sector,arginine:agmatine antiporter,,,,IM,other,Amino acid transport and metabolism,E,COG0531,no,,,Amino acid transport and metabolism
adiY,a-sector,DNA-binding transcriptional activator AdiY,,,,CP,,Transcription,K,COG2207,no,,,Transcription
adk,ra-sector,adenylate kinase,,,,CP,,Nucleotide transport and metabolism,F,COG0563,no,,,Nucleotide transport and metabolism
aegA,rca-sector,putative oxidoreductase Fe-S subunit AegA,,,,CP,,notdefined,ER,COG0493,no,,,notdefined
aer,c-sector,"aerotaxis sensor receptor, flavoprotein",,,,IM,other,notdefined,NT,COG0840,yes,,,notdefined
aes,s-sector,acetylesterase,,,,CP,,Lipid transport and metabolism,I,COG0657,no,,,Lipid transport and metabolism
afuB,rc-sector,CP4-6 prophage; ABC transporter membrane protein AfuB,,,,IM,transporter,notdefined,notdefined,,no,,,notdefined
afuC,rca-sector,CP4-6 prophage; ABC transporter ATP-binding protein AfuC,,,,CP,,Amino acid transport and metabolism,E,COG3842,no,,,Amino acid transport and metabolism
agaA,rca-sector,putative truncated N-acetylgalactosamine-6-phosphate deacetylase,,,,CP,,notdefined,notdefined,,no,,,notdefined
agaB,rca-sector,galactosamine-specific PTS enzyme IIB component,,,,CP,,Carbohydrate transport and metabolism,G,COG3444,no,,,Carbohydrate transport and metabolism
agaC,rca-sector,galactosamine-specific PTS enzyme IIC component,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG3715,no,,,Carbohydrate transport and metabolism
agaD,rca-sector,galactosamine-specific PTS enzyme IID component,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG3716,no,,,Carbohydrate transport and metabolism
agaI,rca-sector,putative deaminase AgaI,,,,CP,,Carbohydrate transport and metabolism,G,COG0363,no,,,Carbohydrate transport and metabolism
agaR,s-sector,DNA-binding transcriptional repressor AgaR,,,,CP,,notdefined,KG,COG1349,no,,,notdefined
agaS,rca-sector,putative galactosamine-6-phosphate deaminase/isomerase,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG2222,no,,,Cell wall/membrane/envelope biogenesis
agaV,s-sector,<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component,,,,CP,,Carbohydrate transport and metabolism,G,COG3444,no,,,Carbohydrate transport and metabolism
agaW,s-sector,<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component,,,,IM,transporter,notdefined,notdefined,,no,,,Carbohydrate transport and metabolism
agp,s-sector,glucose-1-phosphatase,,,,PE,other,notdefined,notdefined,,yes,,,notdefined
ahpC,s-sector,"alkyl hydroperoxide reductase, AhpC component",,,,CP,,Defense mechanisms,V,COG0450,no,,,Defense mechanisms
ahpF,ra-sector,"alkyl hydroperoxide reductase, AhpF component",,,,CP,,Defense mechanisms,V,COG3634,no,,,Defense mechanisms
ahr,s-sector,"aldehyde reductase, NADPH-dependent",,,,CP,,Carbohydrate transport and metabolism,G,COG1064,no,,,Carbohydrate transport and metabolism
aidB,rca-sector,putative acyl-CoA dehydrogenase AidB,,,,CP,,Lipid transport and metabolism,I,COG1960,no,,,Lipid transport and metabolism
ais,s-sector,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,,,,CP,,Carbohydrate transport and metabolism,G,COG0406,no,,,Carbohydrate transport and metabolism
alaA,rca-sector,glutamate&mdash;pyruvate aminotransferase AlaA,,,,CP,,Amino acid transport and metabolism,E,COG0436,no,,,Amino acid transport and metabolism
alaC,rca-sector,glutamate&mdash;pyruvate aminotransferase AlaC,,,,CP,,Amino acid transport and metabolism,E,COG0436,no,,,Amino acid transport and metabolism
alaE,s-sector,G7399-MONOMER,,,,IM,membrane protein,notdefined,notdefined,,no,,,notdefined
alaS,r-sector,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0013,no,,,"Translation, ribosomal structure and biogenesis"
aldA,s-sector,aldehyde dehydrogenase A,sugar aldehyde dehydrogenase,catabolism,catabolism,CP,,Energy production and conversion,C,COG1012,yes,,,Energy production and conversion
aldB,s-sector,aldehyde dehydrogenase B,,,,CP,,Energy production and conversion,C,COG1012,yes,,,Energy production and conversion
alkA,s-sector,DNA-3-methyladenine glycosylase 2,,,,CP,,"Replication, recombination and repair",L,COG0122,no,,,"Replication, recombination and repair"
alkB,rca-sector,DNA oxidative demethylase,,,,CP,,"Replication, recombination and repair",L,COG3145,no,,,"Replication, recombination and repair"
allA,a-sector,ureidoglycolate lyase,,,,CP,,Nucleotide transport and metabolism,F,COG3194,no,,,Nucleotide transport and metabolism
allB,rca-sector,allantoinase,,,,CP,,Nucleotide transport and metabolism,F,COG0044,no,,,Nucleotide transport and metabolism
allC,rca-sector,allantoate amidohydrolase,,,,CP,,Amino acid transport and metabolism,E,COG0624,no,,,Amino acid transport and metabolism
allD,rca-sector,ureidoglycolate dehydrogenase,,,,CP,,Energy production and conversion,C,COG2055,no,,,Energy production and conversion
allE,s-sector,(S)-ureidoglycine aminohydrolase,,,,CP,,Function unknown,S,COG3257,no,,,Function unknown
allR,a-sector,DNA-binding transcriptional repressor AllR,,,,CP,,Transcription,K,COG1414,no,,,Transcription
allS,rca-sector,DNA-binding transcriptional activator AllS,,,,CP,,Transcription,K,COG0583,no,,,Transcription
alpA,s-sector,CP4-57 prophage; DNA-binding transcriptional activator AlpA,,,,CP,,notdefined,KX,COG3311,no,,,notdefined
alr,ra-sector,alanine racemase 1,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG0787,no,,,Cell wall/membrane/envelope biogenesis
alsA,rca-sector,D-allose ABC transporter ATP binding subunit,,,,CP,,Carbohydrate transport and metabolism,G,COG1129,no,,,Carbohydrate transport and metabolism
alsB,rca-sector,D-allose ABC transporter periplasmic binding protein,,,,PE,transporter,Carbohydrate transport and metabolism,G,COG1879,no,,,Carbohydrate transport and metabolism
alsC,s-sector,D-allose ABC transporter membrane subunit,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1172,no,,,Carbohydrate transport and metabolism
alsE,s-sector,D-allulose-6-phosphate 3-epimerase,,,,CP,,Carbohydrate transport and metabolism,G,COG0036,no,,,Carbohydrate transport and metabolism
alsK,rca-sector,EG11956-MONOMER,,,,CP,,notdefined,KG,COG1940,no,,,notdefined
alx,u-sector,putative membrane-bound redox modulator Alx,,,,IM,membrane protein,Inorganic ion transport and metabolism,P,COG0861,no,,,Inorganic ion transport and metabolism
amiA,ra-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase A,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG0860,no,,,Cell wall/membrane/envelope biogenesis
amiB,ra-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase B,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG0860,no,,,Cell wall/membrane/envelope biogenesis
amiC,r-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase C,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG0860,no,,,Cell wall/membrane/envelope biogenesis
amiD,a-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase D,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG3023,no,,,Cell wall/membrane/envelope biogenesis
amn,s-sector,AMP nucleosidase,,,,CP,,Nucleotide transport and metabolism,F,COG0775,yes,,,Nucleotide transport and metabolism
ampC,s-sector,&beta;-lactamase,,,,PE,other,Defense mechanisms,V,COG1680,no,,,Defense mechanisms
ampD,s-sector,"1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase",,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG3023,no,,,Cell wall/membrane/envelope biogenesis
ampE,ra-sector,protein AmpE,,,,IM,membrane protein,Defense mechanisms,V,COG3725,no,,,Defense mechanisms
ampG,rc-sector,muropeptide:H<sup>+</sup> symporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2223,no,,,Inorganic ion transport and metabolism
ampH,s-sector,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,,,,IM,other,Defense mechanisms,V,COG1680,no,,,Defense mechanisms
amtB,a-sector,ammonia/ammonium transporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0004,no,,,Inorganic ion transport and metabolism
amyA,c-sector,ALPHA-AMYL-CYTO-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG0366,no,,,Carbohydrate transport and metabolism
anmK,s-sector,anhydro-<i>N</i>-acetylmuramic acid kinase,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG2377,no,,,Cell wall/membrane/envelope biogenesis
ansA,r-sector,L-asparaginase 1,,,,CP,,notdefined,JU,COG0252,no,,,notdefined
ansB,rca-sector,L-asparaginase 2,,,,PE,other,notdefined,JU,COG0252,yes,,,Energy production and conversion
ansP,r-sector,ANSP-MONOMER,,,,IM,transporter,Amino acid transport and metabolism,E,COG1113,no,,,Amino acid transport and metabolism
apaG,s-sector,DUF525 domain-containing protein ApaG,,,,CP,,Inorganic ion transport and metabolism,P,COG2967,no,,,Inorganic ion transport and metabolism
apaH,s-sector,diadenosine tetraphosphatase,,,,CP,,Signal transduction mechanisms,T,COG0639,no,,,Signal transduction mechanisms
aphA,s-sector,acid phosphatase / phosphotransferase,,,,PE,other,notdefined,PR,COG3700,no,,,notdefined
appA,s-sector,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,,,,PE,other,notdefined,notdefined,,no,,,notdefined
appB,rca-sector,cytochrome <i>bd</i>-II ubiquinol oxidase subunit II,,,,IM,other,Energy production and conversion,C,COG1294,no,,,Energy production and conversion
appC,rca-sector,cytochrome <i>bd</i>-II ubiquinol oxidase subunit I,,,,IM,other,Energy production and conversion,C,COG1271,no,,,Energy production and conversion
appX,rca-sector,small protein AppX,,,,CP,,notdefined,notdefined,,no,,,notdefined
appY,s-sector,DNA-binding transcriptional activator AppY,,,,CP,,Transcription,K,COG2207,no,,,Transcription
apt,ra-sector,adenine phosphoribosyltransferase,,,,CP,,Nucleotide transport and metabolism,F,COG0503,no,,,Nucleotide transport and metabolism
aqpZ,rca-sector,water channel AqpZ,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG0580,no,,,Carbohydrate transport and metabolism
araA,rca-sector,L-arabinose isomerase,,,,CP,,Carbohydrate transport and metabolism,G,COG2160,no,,,Carbohydrate transport and metabolism
araB,s-sector,ribulokinase,,,,CP,,Carbohydrate transport and metabolism,G,COG1069,yes,,,Carbohydrate transport and metabolism
araC,rca-sector,DNA-binding transcriptional dual regulator AraC,,,,CP,,General function prediction only,R,COG1917,yes,,,General function prediction only
araD,rca-sector,L-ribulose-5-phosphate 4-epimerase AraD,,,,CP,,Carbohydrate transport and metabolism,G,COG0235,no,,,Carbohydrate transport and metabolism
araE,rca-sector,arabinose:H<sup>+</sup> symporter,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2814,yes,,,Carbohydrate transport and metabolism
araF,s-sector,arabinose ABC transporter periplasmic binding protein,,,,PE,transporter,Carbohydrate transport and metabolism,G,COG1879,yes,,,Carbohydrate transport and metabolism
araG,s-sector,arabinose ABC transporter ATP binding subunit,,,,CP,,Carbohydrate transport and metabolism,G,COG1129,no,,,Carbohydrate transport and metabolism
araH,rca-sector,arabinose ABC transporter membrane subunit,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1172,no,,,Carbohydrate transport and metabolism
araJ,ra-sector,putative transport protein AraJ,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2814,yes,,,Carbohydrate transport and metabolism
arcA,s-sector,"Phosphorylated DNA-binding transcriptional dual regulator ArcA // ""DNA-binding transcriptional dual regulator ArcA""",,,,CP,,notdefined,TK,COG0745,no,,,notdefined
arcB,s-sector,"sensory histidine kinase ArcB - his292 phosphorylated // ""sensory histidine kinase ArcB - asp576 phosphorylated"" // ""sensory histidine kinase ArcB - his717 phosphorylated"" // ""sensory histidine kinase ArcB""",,,,IM,other,Signal transduction mechanisms,T,COG0784,no,,,Signal transduction mechanisms
arfA,rca-sector,alternative ribosome-rescue factor A,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG3036,no,,,"Translation, ribosomal structure and biogenesis"
arfB,ra-sector,"peptidyl-tRNA hydrolase, ribosome rescue factor",,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1186,no,,,"Translation, ribosomal structure and biogenesis"
argA,a-sector,N-acetylglutamate synthase,,,,CP,,Amino acid transport and metabolism,E,COG0548,no,,,Amino acid transport and metabolism
argB,ra-sector,acetylglutamate kinase,,,,CP,,Amino acid transport and metabolism,E,COG0548,no,,,Amino acid transport and metabolism
argC,a-sector,N-ACETYLGLUTPREDUCT-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0002,no,,,Amino acid transport and metabolism
argD,ra-sector,<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG4992,no,,,Amino acid transport and metabolism
argE,a-sector,acetylornithine deacetylase,,,,CP,,Amino acid transport and metabolism,E,COG0624,no,,,Amino acid transport and metabolism
argF,rca-sector,CP4-6 prophage; ornithine carbamoyltransferase ArgF,,,,CP,,Amino acid transport and metabolism,E,COG0078,no,,,Amino acid transport and metabolism
argG,a-sector,argininosuccinate synthetase,,,,CP,,Amino acid transport and metabolism,E,COG0137,yes,,,Amino acid transport and metabolism
argH,a-sector,ARGSUCCINLYA-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0165,no,,,Amino acid transport and metabolism
argI,s-sector,ornithine carbamoyltransferase ArgI,,,,CP,,Amino acid transport and metabolism,E,COG0078,no,,,Amino acid transport and metabolism
argK,rca-sector,methylmalonyl-CoA mutase-interacting GTPase YgfD,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1703,no,,,"Posttranslational modification, protein turnover, chaperones"
argO,rca-sector,L-arginine exporter,,,,IM,transporter,Amino acid transport and metabolism,E,COG1279,no,,,Amino acid transport and metabolism
argP,a-sector,DNA-binding transcriptional dual regulator ArgP,,,,CP,,Transcription,K,COG0583,no,,,Transcription
argR,a-sector,DNA-binding transcriptional dual regulator ArgR,,,,CP,,Transcription,K,COG1438,no,,,Transcription
argS,r-sector,arginine&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0018,no,,,"Translation, ribosomal structure and biogenesis"
argT,s-sector,lysine/arginine/ornithine ABC transporter periplasmic binding protein,arginine/lysine/ornithine transporter,aminio acid uptake,transport,PE,transporter,notdefined,ET,COG0834,yes,,,Amino acid transport and metabolism
ariR,rca-sector,"regulator of acid resistance, influenced by indole",,,,CP,,notdefined,notdefined,,no,,,notdefined
arnA,s-sector,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0223,no,,,"Translation, ribosomal structure and biogenesis"
arnB,rca-sector,G7166-MONOMER,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG0399,no,,,Cell wall/membrane/envelope biogenesis
arnC,s-sector,G7167-MONOMER,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG0463,no,,,Cell wall/membrane/envelope biogenesis
arnD,s-sector,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,,,,CP,,notdefined,GM,COG0726,no,,,notdefined
arnE,s-sector,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit,,,,IM,other,Defense mechanisms,V,COG2076,no,,,Defense mechanisms
arnF,s-sector,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit,,,,IM,membrane protein,notdefined,notdefined,,no,,,notdefined
arnT,s-sector,G7170-MONOMER,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG1807,no,,,Cell wall/membrane/envelope biogenesis
aroA,a-sector,AROA-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0128,no,,,Amino acid transport and metabolism
aroB,ra-sector,AROB-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0337,no,,,Amino acid transport and metabolism
aroC,a-sector,chorismate synthase,,,,CP,,Amino acid transport and metabolism,E,COG0082,no,,,Amino acid transport and metabolism
aroD,s-sector,3-dehydroquinate dehydratase,,,,CP,,Amino acid transport and metabolism,E,COG0710,no,,,Amino acid transport and metabolism
aroE,ra-sector,AROE-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0169,no,,,Amino acid transport and metabolism
aroF,u-sector,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",,,,CP,,Amino acid transport and metabolism,E,COG0722,no,,,Amino acid transport and metabolism
aroG,a-sector,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",,,,CP,,Amino acid transport and metabolism,E,COG0722,no,,,Amino acid transport and metabolism
aroH,r-sector,"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",,,,CP,,Amino acid transport and metabolism,E,COG0722,no,,,Amino acid transport and metabolism
aroK,rca-sector,shikimate kinase 1,,,,CP,,Amino acid transport and metabolism,E,COG0703,no,,,Amino acid transport and metabolism
aroL,rc-sector,shikimate kinase 2,,,,CP,,Amino acid transport and metabolism,E,COG0703,no,,,Amino acid transport and metabolism
aroM,rca-sector,protein AroM,,,,CP,,notdefined,notdefined,,yes,,,notdefined
aroP,u-sector,aromatic amino acid:H<sup>+</sup> symporter AroP,,,,IM,transporter,Amino acid transport and metabolism,E,COG1113,no,,,Amino acid transport and metabolism
arpA,rca-sector,regulator of acetyl CoA synthetase,,,,CP,,notdefined,notdefined,,no,,,notdefined
arpB_1,rca-sector,,,,,CP,,notdefined,notdefined,,no,,,notdefined
arpB_2,rca-sector,,,,,CP,,notdefined,notdefined,,no,,,notdefined
arsB,rca-sector,arsenite/antimonite:H<sup>+</sup> antiporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG1055,no,,,Inorganic ion transport and metabolism
arsC,s-sector,EG12237-MONOMER,,,,CP,,Inorganic ion transport and metabolism,P,COG1393,no,,,Inorganic ion transport and metabolism
arsR,a-sector,DNA-binding transcriptional repressor ArsR,,,,CP,,Transcription,K,COG0640,no,,,Transcription
artI,ra-sector,putative ABC transporter periplasmic binding protein ArtI,,,,PE,transporter,notdefined,ET,COG0834,no,,,notdefined
artJ,a-sector,L-arginine ABC transporter periplasmic binding protein,,,,PE,transporter,notdefined,ET,COG0834,no,,,Amino acid transport and metabolism
artM,ra-sector,L-arginine ABC transporter membrane subunit ArtM,,,,IM,transporter,Amino acid transport and metabolism,E,COG4160,no,,,Amino acid transport and metabolism
artP,ra-sector,L-arginine ABC transporter ATP binding subunit,,,,CP,,Amino acid transport and metabolism,E,COG4161,no,,,Amino acid transport and metabolism
artQ,ra-sector,L-arginine ABC transporter membrane subunit ArtQ,,,,IM,transporter,Amino acid transport and metabolism,E,COG4215,no,,,Amino acid transport and metabolism
ascB,rca-sector,6-phospho-&beta;-glucosidase AscB,,,,CP,,Carbohydrate transport and metabolism,G,COG2723,no,,,Carbohydrate transport and metabolism
ascF,rca-sector,&beta;-glucoside specific PTS enzyme IIBC component,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1263,yes,,,Carbohydrate transport and metabolism
ascG,rca-sector,DNA-binding transcriptional repressor AscG,,,,CP,,Transcription,K,COG1609,no,,,Transcription
asd,a-sector,aspartate-semialdehyde dehydrogenase,,,,CP,,Amino acid transport and metabolism,E,COG0136,no,,,Amino acid transport and metabolism
aslA,rca-sector,putative sulfatase AslA,,,,PE,other,Inorganic ion transport and metabolism,P,COG3119,no,,,Inorganic ion transport and metabolism
aslB,rca-sector,putative anaerobic sulfatase maturation enzyme AslB,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0641,no,,,"Posttranslational modification, protein turnover, chaperones"
asmA,rca-sector,putative assembly protein AsmA,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG2982,no,,,Cell wall/membrane/envelope biogenesis
asnA,s-sector,asparagine synthetase A,,,,CP,,Amino acid transport and metabolism,E,COG2502,no,,,Amino acid transport and metabolism
asnB,s-sector,asparagine synthetase B,,,,CP,,Amino acid transport and metabolism,E,COG0367,no,,,Amino acid transport and metabolism
