growth_rate_hr,relative_ppGpp,source,notes
1.091,1.000,"Lazzarini et al., 1971","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.500,0.783,"Lazzarini et al., 1971","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
0.648,2.062,"Sokawa et al., 1975","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.221 condition, which is closest to that of Wu et al. 2021"
1.221,1.000,"Sokawa et al., 1975","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.221 condition, which is closest to that of Wu et al. 2021"
1.690,0.481,"Sokawa et al., 1975","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.221 condition, which is closest to that of Wu et al. 2021"
0.455,2.100,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
0.477,1.825,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
0.477,1.399,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.136,1.082,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.091,1.000,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.205,0.903,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.250,0.807,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.295,0.780,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.341,0.752,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.795,0.367,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.886,0.339,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
1.841,0.284,"Ryals et al., 1981","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.091 condition, which is closest to that of Wu et al. 2021"
0.591,1.462,"Baracchini et al., 1988","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.000 condition, which is closest to that of Wu et al. 2021"
1.000,1.000,"Baracchini et al., 1988","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.000 condition, which is closest to that of Wu et al. 2021"
1.045,0.862,"Baracchini et al., 1988","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.000 condition, which is closest to that of Wu et al. 2021"
1.045,0.677,"Baracchini et al., 1988","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.000 condition, which is closest to that of Wu et al. 2021"
1.500,0.308,"Baracchini et al., 1988","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 1.000 condition, which is closest to that of Wu et al. 2021"
0.500,1.811,"Buckstein et al., 2008","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 0.983 condition, which is closest to that of Wu et al. 2021"
0.983,1.000,"Buckstein et al., 2008","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 0.983 condition, which is closest to that of Wu et al. 2021"
1.994,0.470,"Buckstein et al., 2008","Digitized from Fig. 1 A In Imholz et al., 2020. Relative value calculated to the 0.983 condition, which is closest to that of Wu et al. 2021"
0.348,1.726,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.04 condition, which is closest to that of Wu et al. 2021. Strain is MG1655"
0.460,1.53663120567376,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.04 condition, which is closest to that of Wu et al. 2021. Strain is MG1655"
0.659,1.489,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.04 condition, which is closest to that of Wu et al. 2021. Strain is MG1655"
1.04,1,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.04 condition, which is closest to that of Wu et al. 2021. Strain is MG1655"
1.521,0.730496453900709,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.04 condition, which is closest to that of Wu et al. 2021. Strain is MG1655"
0.696,1.25249431122002,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 0.980 condition, which is closest to that of Wu et al. 2021. Strain is NCM3722"
0.875,0.601,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 0.980 condition, which is closest to that of Wu et al. 2021. Strain is NCM3722"
0.980,1.000,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 0.980 condition, which is closest to that of Wu et al. 2021. Strain is NCM3722"
1.399,0.705,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 0.980 condition, which is closest to that of Wu et al. 2021. Strain is NCM3722"
2.430,0.428,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 0.980 condition, which is closest to that of Wu et al. 2021. Strain is NCM3722"
2.542,0.502,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 0.980 condition, which is closest to that of Wu et al. 2021. Strain is NCM3722"
0.430,0.831,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.085 condition, which is closest to that of Wu et al. 2021. Strain is CF7968"
0.635,0.830,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.085 condition, which is closest to that of Wu et al. 2021. Strain is CF7968"
0.869,0.529,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.085 condition, which is closest to that of Wu et al. 2021. Strain is CF7968"
0.892,0.787,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.085 condition, which is closest to that of Wu et al. 2021. Strain is CF7968"
1.085,1.000,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.085 condition, which is closest to that of Wu et al. 2021. Strain is CF7968"
1.572,0.450,"Imholz et al., 2020","Digitized from Fig. 1A. All replicates averaged for each growth medium. Relative value calculated relative to the 1.085 condition, which is closest to that of Wu et al. 2021. Strain is CF7968"
